"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
545198,"Thalassoma pavo","(Linnaeus, 1758)",,-24.7811107635498,37.2683334350586,"RUSI","Occurrence","RUSI 36080","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"6",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",1040676479,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
972537,"Thalassoma pavo","(Linnaeus, 1758)",,7.41666650772095,43.5666656494141,"MNHN","Occurrence","MNHN 1961-0868","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",839286335,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
1277471,"Thalassoma pavo","(Linnaeus, 1758)",,-14.0166664123535,28.7000007629395,"AMNH","Occurrence","AMNH 75210","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"6",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",868710015,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
1962693,"Thalassoma pavo","(Linnaeus, 1758)",,7.26666688919067,43.7000007629395,"MNHN","Occurrence","MNHN 0000-4218","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",871857727,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
3804550,"Thalassoma pavo","(Linnaeus, 1758)",,-17.4166660308838,14.6333332061768,"MNHN","Occurrence","MNHN 1950-0011","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",808943167,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
4079280,"Thalassoma pavo","(Linnaeus, 1758)",,-17,25,"MNHN","Occurrence","MNHN A-9147","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"5",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",805797439,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
4686593,"Thalassoma pavo","(Linnaeus, 1758)",,14.25,40.6666679382324,"MNHN","Occurrence","MNHN A-9144","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"5",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",805797439,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
4784213,"Thalassoma pavo","(Linnaeus, 1758)","1990-06-30 12:00:00",-28.5,38.283332824706996,"USNM","Vertebrate Zoology; Fishes","327389.5222882","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"6",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",1040708223,,,,,268,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"1990"
5376902,"Thalassoma pavo","(Linnaeus, 1758)",,14.25,40.6666679382324,"MNHN","Occurrence","MNHN A-9143","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",805797439,,,,,721,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,
5890312,"Thalassoma pavo","(Linnaeus, 1758)","1990-06-20 12:00:00",-16.733299255371097,32.7332992553711,"SAIAB","SAIAB","22572","urn:lsid:marinespecies.org:taxname:126970","Thalassoma pavo",,,,,,,,,,,"Actinopterygii",,,,,,,,,,,,,,,,,"Labridae",,,,,,"Thalassoma",,,,,,,,,,,"29",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Perciformes",,,,,,"Chordata",540540543,,,,,128,,,,,,"Thalassoma pavo",,,,,,,,"Labroidei","Vertebrata",,,,,,"Pisces",,,,,,,,,"Pisces",,,,518710,,,,126970,"1990"
